metric,fold,Model,sdr_orig,mean,std,Duration,Metric
delta_pesq,fold_1,Baseline,1.000000,0.283813,0.163341,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,3.000000,0.997860,0.413654,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,5.000000,1.567910,0.377818,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,7.000000,1.808844,0.290807,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,1.000000,0.271395,0.151575,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,3.000000,1.006603,0.421731,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,5.000000,1.567122,0.414635,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,7.000000,1.821047,0.271411,4.000000,delta_pesq
delta_pesq,fold_1,ML1,1.000000,0.515213,0.155702,4.000000,delta_pesq
delta_pesq,fold_1,ML1,3.000000,0.696658,0.197742,4.000000,delta_pesq
delta_pesq,fold_1,ML1,5.000000,0.810317,0.211118,4.000000,delta_pesq
delta_pesq,fold_1,ML1,7.000000,0.854946,0.195825,4.000000,delta_pesq
delta_pesq,fold_1,ML2,1.000000,0.333810,0.178277,4.000000,delta_pesq
delta_pesq,fold_1,ML2,3.000000,1.091059,0.396028,4.000000,delta_pesq
delta_pesq,fold_1,ML2,5.000000,1.628530,0.332272,4.000000,delta_pesq
delta_pesq,fold_1,ML2,7.000000,1.797121,0.280952,4.000000,delta_pesq
cycles,fold_1,Baseline,1.000000,267326.500000,36300.448476,4.000000,cycles
cycles,fold_1,Baseline,3.000000,351991.800000,39143.364002,4.000000,cycles
cycles,fold_1,Baseline,5.000000,392010.250000,37219.564135,4.000000,cycles
cycles,fold_1,Baseline,7.000000,414996.900000,35802.218283,4.000000,cycles
cycles,fold_1,Dynamic,1.000000,189877.500000,23030.722708,4.000000,cycles
cycles,fold_1,Dynamic,3.000000,245881.200000,24730.988185,4.000000,cycles
cycles,fold_1,Dynamic,5.000000,271389.650000,23566.741278,4.000000,cycles
cycles,fold_1,Dynamic,7.000000,285769.300000,22610.061014,4.000000,cycles
cycles,fold_1,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML2,1.000000,121224.050000,17179.621509,4.000000,cycles
cycles,fold_1,ML2,3.000000,157590.350000,18798.530212,4.000000,cycles
cycles,fold_1,ML2,5.000000,173748.150000,18307.790221,4.000000,cycles
cycles,fold_1,ML2,7.000000,182590.800000,17993.800917,4.000000,cycles
delta_sdr,fold_1,Baseline,1.000000,5.182579,1.181771,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,3.000000,7.278782,1.289047,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,5.000000,7.829944,1.735828,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,7.000000,8.188928,2.042855,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,1.000000,4.939786,1.078563,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,3.000000,7.349469,1.217226,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,5.000000,7.846936,1.753392,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,7.000000,8.340783,2.018524,4.000000,delta_sdr
delta_sdr,fold_1,ML1,1.000000,4.292017,0.882087,4.000000,delta_sdr
delta_sdr,fold_1,ML1,3.000000,6.215443,1.098477,4.000000,delta_sdr
delta_sdr,fold_1,ML1,5.000000,6.359494,1.053287,4.000000,delta_sdr
delta_sdr,fold_1,ML1,7.000000,6.262742,0.999645,4.000000,delta_sdr
delta_sdr,fold_1,ML2,1.000000,4.921373,0.938661,4.000000,delta_sdr
delta_sdr,fold_1,ML2,3.000000,7.855913,1.346120,4.000000,delta_sdr
delta_sdr,fold_1,ML2,5.000000,8.555032,1.671072,4.000000,delta_sdr
delta_sdr,fold_1,ML2,7.000000,9.007478,1.787517,4.000000,delta_sdr
processing_time,fold_1,Baseline,1.000000,72.033910,10.086362,4.000000,processing_time
processing_time,fold_1,Baseline,3.000000,92.093380,11.148226,4.000000,processing_time
processing_time,fold_1,Baseline,5.000000,97.201291,9.841709,4.000000,processing_time
processing_time,fold_1,Baseline,7.000000,98.130775,8.912623,4.000000,processing_time
processing_time,fold_1,Dynamic,1.000000,55.000638,7.041581,4.000000,processing_time
processing_time,fold_1,Dynamic,3.000000,70.359906,8.107068,4.000000,processing_time
processing_time,fold_1,Dynamic,5.000000,76.902471,7.593153,4.000000,processing_time
processing_time,fold_1,Dynamic,7.000000,93.205547,13.498754,4.000000,processing_time
processing_time,fold_1,ML1,1.000000,2.004164,0.187725,4.000000,processing_time
processing_time,fold_1,ML1,3.000000,1.902666,0.092090,4.000000,processing_time
processing_time,fold_1,ML1,5.000000,1.937096,0.143906,4.000000,processing_time
processing_time,fold_1,ML1,7.000000,2.019270,0.205362,4.000000,processing_time
processing_time,fold_1,ML2,1.000000,36.825444,5.140854,4.000000,processing_time
processing_time,fold_1,ML2,3.000000,47.012571,5.863025,4.000000,processing_time
processing_time,fold_1,ML2,5.000000,52.090276,6.209529,4.000000,processing_time
processing_time,fold_1,ML2,7.000000,52.928752,5.393805,4.000000,processing_time
delta_pesq,fold_2,Baseline,1.000000,0.220717,0.098317,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,3.000000,0.862095,0.294714,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,5.000000,1.460589,0.346741,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,7.000000,1.770075,0.408677,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,1.000000,0.220817,0.105686,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,3.000000,0.916261,0.306603,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,5.000000,1.473416,0.324391,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,7.000000,1.789566,0.393135,4.000000,delta_pesq
delta_pesq,fold_2,ML1,1.000000,0.480167,0.190238,4.000000,delta_pesq
delta_pesq,fold_2,ML1,3.000000,0.664904,0.285362,4.000000,delta_pesq
delta_pesq,fold_2,ML1,5.000000,0.754975,0.212160,4.000000,delta_pesq
delta_pesq,fold_2,ML1,7.000000,0.797438,0.244684,4.000000,delta_pesq
delta_pesq,fold_2,ML2,1.000000,0.275013,0.132666,4.000000,delta_pesq
delta_pesq,fold_2,ML2,3.000000,0.971938,0.278690,4.000000,delta_pesq
delta_pesq,fold_2,ML2,5.000000,1.507990,0.307321,4.000000,delta_pesq
delta_pesq,fold_2,ML2,7.000000,1.796623,0.370516,4.000000,delta_pesq
cycles,fold_2,Baseline,1.000000,266941.300000,42132.994641,4.000000,cycles
cycles,fold_2,Baseline,3.000000,356474.850000,47907.165706,4.000000,cycles
cycles,fold_2,Baseline,5.000000,398786.150000,48212.766368,4.000000,cycles
cycles,fold_2,Baseline,7.000000,421614.900000,47484.038002,4.000000,cycles
cycles,fold_2,Dynamic,1.000000,189799.450000,27091.114701,4.000000,cycles
cycles,fold_2,Dynamic,3.000000,248905.300000,30305.125544,4.000000,cycles
cycles,fold_2,Dynamic,5.000000,276064.100000,30273.261421,4.000000,cycles
cycles,fold_2,Dynamic,7.000000,290067.350000,29395.415012,4.000000,cycles
cycles,fold_2,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML2,1.000000,123049.300000,18972.337203,4.000000,cycles
cycles,fold_2,ML2,3.000000,161581.750000,22041.080649,4.000000,cycles
cycles,fold_2,ML2,5.000000,178608.400000,22751.110155,4.000000,cycles
cycles,fold_2,ML2,7.000000,187191.900000,22843.348019,4.000000,cycles
delta_sdr,fold_2,Baseline,1.000000,4.819719,1.144456,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,3.000000,6.942048,1.505072,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,5.000000,7.346425,1.938979,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,7.000000,7.454922,2.232128,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,1.000000,4.605204,1.025336,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,3.000000,7.059901,1.538791,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,5.000000,7.473415,1.907283,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,7.000000,7.634465,2.119405,4.000000,delta_sdr
delta_sdr,fold_2,ML1,1.000000,3.974561,0.867323,4.000000,delta_sdr
delta_sdr,fold_2,ML1,3.000000,5.723179,1.109046,4.000000,delta_sdr
delta_sdr,fold_2,ML1,5.000000,5.916590,1.150393,4.000000,delta_sdr
delta_sdr,fold_2,ML1,7.000000,5.828347,1.091387,4.000000,delta_sdr
delta_sdr,fold_2,ML2,1.000000,4.602240,0.957052,4.000000,delta_sdr
delta_sdr,fold_2,ML2,3.000000,7.366003,1.614726,4.000000,delta_sdr
delta_sdr,fold_2,ML2,5.000000,8.004435,1.917832,4.000000,delta_sdr
delta_sdr,fold_2,ML2,7.000000,8.295915,2.136466,4.000000,delta_sdr
processing_time,fold_2,Baseline,1.000000,66.131645,10.893573,4.000000,processing_time
processing_time,fold_2,Baseline,3.000000,87.938275,12.411141,4.000000,processing_time
processing_time,fold_2,Baseline,5.000000,95.649471,12.273694,4.000000,processing_time
processing_time,fold_2,Baseline,7.000000,100.042703,12.132697,4.000000,processing_time
processing_time,fold_2,Dynamic,1.000000,55.980104,8.462602,4.000000,processing_time
processing_time,fold_2,Dynamic,3.000000,70.622166,9.222247,4.000000,processing_time
processing_time,fold_2,Dynamic,5.000000,78.456366,9.480676,4.000000,processing_time
processing_time,fold_2,Dynamic,7.000000,80.765476,8.852353,4.000000,processing_time
processing_time,fold_2,ML1,1.000000,2.111106,0.155095,4.000000,processing_time
processing_time,fold_2,ML1,3.000000,2.089589,0.152281,4.000000,processing_time
processing_time,fold_2,ML1,5.000000,2.180836,0.182615,4.000000,processing_time
processing_time,fold_2,ML1,7.000000,2.135309,0.119780,4.000000,processing_time
processing_time,fold_2,ML2,1.000000,37.545467,5.875049,4.000000,processing_time
processing_time,fold_2,ML2,3.000000,47.851683,6.515085,4.000000,processing_time
processing_time,fold_2,ML2,5.000000,51.961714,7.045130,4.000000,processing_time
processing_time,fold_2,ML2,7.000000,53.944468,6.396702,4.000000,processing_time
delta_pesq,fold_3,Baseline,1.000000,0.306432,0.145499,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,3.000000,1.082722,0.341104,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,5.000000,1.620053,0.393149,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,7.000000,1.855079,0.364107,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,1.000000,0.297489,0.143353,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,3.000000,1.074969,0.340515,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,5.000000,1.610258,0.384983,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,7.000000,1.858920,0.373123,4.000000,delta_pesq
delta_pesq,fold_3,ML1,1.000000,0.529758,0.129837,4.000000,delta_pesq
delta_pesq,fold_3,ML1,3.000000,0.746977,0.195111,4.000000,delta_pesq
delta_pesq,fold_3,ML1,5.000000,0.840285,0.225708,4.000000,delta_pesq
delta_pesq,fold_3,ML1,7.000000,0.843827,0.231700,4.000000,delta_pesq
delta_pesq,fold_3,ML2,1.000000,0.330638,0.139334,4.000000,delta_pesq
delta_pesq,fold_3,ML2,3.000000,1.083184,0.282780,4.000000,delta_pesq
delta_pesq,fold_3,ML2,5.000000,1.567628,0.294468,4.000000,delta_pesq
delta_pesq,fold_3,ML2,7.000000,1.772429,0.293723,4.000000,delta_pesq
cycles,fold_3,Baseline,1.000000,270588.300000,45150.827188,4.000000,cycles
cycles,fold_3,Baseline,3.000000,358350.600000,51754.627638,4.000000,cycles
cycles,fold_3,Baseline,5.000000,399970.250000,49715.616766,4.000000,cycles
cycles,fold_3,Baseline,7.000000,423804.150000,46388.760497,4.000000,cycles
cycles,fold_3,Dynamic,1.000000,191407.150000,28772.648780,4.000000,cycles
cycles,fold_3,Dynamic,3.000000,249572.700000,32574.898570,4.000000,cycles
cycles,fold_3,Dynamic,5.000000,276220.150000,31117.471761,4.000000,cycles
cycles,fold_3,Dynamic,7.000000,291041.300000,28665.688702,4.000000,cycles
cycles,fold_3,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML2,1.000000,122363.100000,19531.279441,4.000000,cycles
cycles,fold_3,ML2,3.000000,159665.350000,22650.800800,4.000000,cycles
cycles,fold_3,ML2,5.000000,176507.700000,22631.837233,4.000000,cycles
cycles,fold_3,ML2,7.000000,185327.500000,21700.644906,4.000000,cycles
delta_sdr,fold_3,Baseline,1.000000,5.713439,1.498347,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,3.000000,8.064918,1.738267,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,5.000000,8.725886,2.052580,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,7.000000,9.056296,2.491190,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,1.000000,5.334431,1.312073,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,3.000000,8.186045,1.807746,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,5.000000,8.862390,1.965718,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,7.000000,9.218675,2.263137,4.000000,delta_sdr
delta_sdr,fold_3,ML1,1.000000,4.359293,0.977096,4.000000,delta_sdr
delta_sdr,fold_3,ML1,3.000000,6.443187,1.301939,4.000000,delta_sdr
delta_sdr,fold_3,ML1,5.000000,6.552930,1.138837,4.000000,delta_sdr
delta_sdr,fold_3,ML1,7.000000,6.270592,1.024404,4.000000,delta_sdr
delta_sdr,fold_3,ML2,1.000000,5.060360,1.049259,4.000000,delta_sdr
delta_sdr,fold_3,ML2,3.000000,8.334585,1.558325,4.000000,delta_sdr
delta_sdr,fold_3,ML2,5.000000,9.130567,1.456769,4.000000,delta_sdr
delta_sdr,fold_3,ML2,7.000000,9.373229,1.346427,4.000000,delta_sdr
processing_time,fold_3,Baseline,1.000000,63.169107,11.207063,4.000000,processing_time
processing_time,fold_3,Baseline,3.000000,82.694277,12.240407,4.000000,processing_time
processing_time,fold_3,Baseline,5.000000,89.594839,11.939069,4.000000,processing_time
processing_time,fold_3,Baseline,7.000000,95.077294,10.181379,4.000000,processing_time
processing_time,fold_3,Dynamic,1.000000,53.856041,7.917147,4.000000,processing_time
processing_time,fold_3,Dynamic,3.000000,69.581411,9.683154,4.000000,processing_time
processing_time,fold_3,Dynamic,5.000000,78.690767,8.755304,4.000000,processing_time
processing_time,fold_3,Dynamic,7.000000,80.299026,8.318469,4.000000,processing_time
processing_time,fold_3,ML1,1.000000,2.213889,0.161254,4.000000,processing_time
processing_time,fold_3,ML1,3.000000,2.115292,0.185910,4.000000,processing_time
processing_time,fold_3,ML1,5.000000,2.191638,0.199702,4.000000,processing_time
processing_time,fold_3,ML1,7.000000,2.096563,0.146821,4.000000,processing_time
processing_time,fold_3,ML2,1.000000,40.582274,6.316401,4.000000,processing_time
processing_time,fold_3,ML2,3.000000,48.656281,6.813448,4.000000,processing_time
processing_time,fold_3,ML2,5.000000,51.715286,6.746280,4.000000,processing_time
processing_time,fold_3,ML2,7.000000,53.966307,5.653691,4.000000,processing_time
delta_pesq,fold_4,Baseline,1.000000,0.283053,0.137535,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,3.000000,1.051273,0.318444,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,5.000000,1.523040,0.375261,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,7.000000,1.702494,0.511250,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,1.000000,0.276570,0.125992,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,3.000000,1.065222,0.313229,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,5.000000,1.512344,0.366936,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,7.000000,1.707068,0.519697,4.000000,delta_pesq
delta_pesq,fold_4,ML1,1.000000,0.498047,0.127959,4.000000,delta_pesq
delta_pesq,fold_4,ML1,3.000000,0.702549,0.209707,4.000000,delta_pesq
delta_pesq,fold_4,ML1,5.000000,0.845834,0.208319,4.000000,delta_pesq
delta_pesq,fold_4,ML1,7.000000,0.841226,0.251640,4.000000,delta_pesq
delta_pesq,fold_4,ML2,1.000000,0.314842,0.129698,4.000000,delta_pesq
delta_pesq,fold_4,ML2,3.000000,1.023095,0.369362,4.000000,delta_pesq
delta_pesq,fold_4,ML2,5.000000,1.535863,0.380547,4.000000,delta_pesq
delta_pesq,fold_4,ML2,7.000000,1.723834,0.515409,4.000000,delta_pesq
cycles,fold_4,Baseline,1.000000,285936.650000,28390.260208,4.000000,cycles
cycles,fold_4,Baseline,3.000000,377100.950000,33425.587349,4.000000,cycles
cycles,fold_4,Baseline,5.000000,414188.500000,32878.302384,4.000000,cycles
cycles,fold_4,Baseline,7.000000,433103.900000,32450.015296,4.000000,cycles
cycles,fold_4,Dynamic,1.000000,201781.050000,18223.800890,4.000000,cycles
cycles,fold_4,Dynamic,3.000000,261885.350000,21156.578893,4.000000,cycles
cycles,fold_4,Dynamic,5.000000,285315.250000,20381.291344,4.000000,cycles
cycles,fold_4,Dynamic,7.000000,296921.350000,19843.141435,4.000000,cycles
cycles,fold_4,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_4,ML2,1.000000,128559.750000,14093.515799,4.000000,cycles
cycles,fold_4,ML2,3.000000,166814.150000,17416.247180,4.000000,cycles
cycles,fold_4,ML2,5.000000,181431.050000,17520.041371,4.000000,cycles
cycles,fold_4,ML2,7.000000,188496.050000,17398.419052,4.000000,cycles
delta_sdr,fold_4,Baseline,1.000000,4.620567,1.004086,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,3.000000,7.104164,1.336904,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,5.000000,7.898822,1.622042,4.000000,delta_sdr
delta_sdr,fold_4,Baseline,7.000000,8.104525,2.363206,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,1.000000,4.405757,0.921304,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,3.000000,7.094016,1.373544,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,5.000000,7.984567,1.568926,4.000000,delta_sdr
delta_sdr,fold_4,Dynamic,7.000000,8.166749,2.248999,4.000000,delta_sdr
delta_sdr,fold_4,ML1,1.000000,3.877309,0.844138,4.000000,delta_sdr
delta_sdr,fold_4,ML1,3.000000,5.807956,1.332246,4.000000,delta_sdr
delta_sdr,fold_4,ML1,5.000000,5.941443,1.313478,4.000000,delta_sdr
delta_sdr,fold_4,ML1,7.000000,5.787624,1.188517,4.000000,delta_sdr
delta_sdr,fold_4,ML2,1.000000,4.483514,0.912087,4.000000,delta_sdr
delta_sdr,fold_4,ML2,3.000000,7.430308,1.596336,4.000000,delta_sdr
delta_sdr,fold_4,ML2,5.000000,8.262641,1.687672,4.000000,delta_sdr
delta_sdr,fold_4,ML2,7.000000,8.607605,1.900566,4.000000,delta_sdr
processing_time,fold_4,Baseline,1.000000,69.177017,7.498933,4.000000,processing_time
processing_time,fold_4,Baseline,3.000000,87.987088,8.577303,4.000000,processing_time
processing_time,fold_4,Baseline,5.000000,94.442859,7.961824,4.000000,processing_time
processing_time,fold_4,Baseline,7.000000,98.199158,7.424078,4.000000,processing_time
processing_time,fold_4,Dynamic,1.000000,58.967222,5.511577,4.000000,processing_time
processing_time,fold_4,Dynamic,3.000000,75.296855,7.259088,4.000000,processing_time
processing_time,fold_4,Dynamic,5.000000,80.397151,5.893870,4.000000,processing_time
processing_time,fold_4,Dynamic,7.000000,82.485820,6.023134,4.000000,processing_time
processing_time,fold_4,ML1,1.000000,1.882917,0.072312,4.000000,processing_time
processing_time,fold_4,ML1,3.000000,1.866788,0.004899,4.000000,processing_time
processing_time,fold_4,ML1,5.000000,1.861966,0.006782,4.000000,processing_time
processing_time,fold_4,ML1,7.000000,2.004204,0.201817,4.000000,processing_time
processing_time,fold_4,ML2,1.000000,38.385904,4.417068,4.000000,processing_time
processing_time,fold_4,ML2,3.000000,48.043416,5.309704,4.000000,processing_time
processing_time,fold_4,ML2,5.000000,51.382615,5.144899,4.000000,processing_time
processing_time,fold_4,ML2,7.000000,53.458449,5.031078,4.000000,processing_time
delta_pesq,fold_5,Baseline,1.000000,0.263343,0.124012,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,3.000000,0.985101,0.405893,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,5.000000,1.673898,0.427468,4.000000,delta_pesq
delta_pesq,fold_5,Baseline,7.000000,1.990376,0.311524,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,1.000000,0.268949,0.111412,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,3.000000,0.977204,0.409843,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,5.000000,1.668236,0.445449,4.000000,delta_pesq
delta_pesq,fold_5,Dynamic,7.000000,1.979318,0.354813,4.000000,delta_pesq
delta_pesq,fold_5,ML1,1.000000,0.439071,0.154027,4.000000,delta_pesq
delta_pesq,fold_5,ML1,3.000000,0.600549,0.215027,4.000000,delta_pesq
delta_pesq,fold_5,ML1,5.000000,0.725745,0.182022,4.000000,delta_pesq
delta_pesq,fold_5,ML1,7.000000,0.824399,0.166340,4.000000,delta_pesq
delta_pesq,fold_5,ML2,1.000000,0.301185,0.121565,4.000000,delta_pesq
delta_pesq,fold_5,ML2,3.000000,1.077184,0.342751,4.000000,delta_pesq
delta_pesq,fold_5,ML2,5.000000,1.733889,0.367429,4.000000,delta_pesq
delta_pesq,fold_5,ML2,7.000000,1.973947,0.368911,4.000000,delta_pesq
cycles,fold_5,Baseline,1.000000,279662.600000,28727.899048,4.000000,cycles
cycles,fold_5,Baseline,3.000000,372454.200000,30077.693614,4.000000,cycles
cycles,fold_5,Baseline,5.000000,413289.550000,30405.130622,4.000000,cycles
cycles,fold_5,Baseline,7.000000,435154.950000,29786.311528,4.000000,cycles
cycles,fold_5,Dynamic,1.000000,197142.000000,18191.794564,4.000000,cycles
cycles,fold_5,Dynamic,3.000000,258542.950000,19041.492402,4.000000,cycles
cycles,fold_5,Dynamic,5.000000,284574.150000,19021.636155,4.000000,cycles
cycles,fold_5,Dynamic,7.000000,298123.950000,18344.777167,4.000000,cycles
cycles,fold_5,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_5,ML2,1.000000,126087.800000,13479.083604,4.000000,cycles
cycles,fold_5,ML2,3.000000,165086.900000,14492.554832,4.000000,cycles
cycles,fold_5,ML2,5.000000,181253.800000,14765.047880,4.000000,cycles
cycles,fold_5,ML2,7.000000,189562.350000,14510.684837,4.000000,cycles
delta_sdr,fold_5,Baseline,1.000000,4.880707,1.074003,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,3.000000,7.478933,1.649668,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,5.000000,8.313834,1.878524,4.000000,delta_sdr
delta_sdr,fold_5,Baseline,7.000000,9.110157,1.603540,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,1.000000,4.686046,1.023200,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,3.000000,7.542694,1.685143,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,5.000000,8.362199,1.901879,4.000000,delta_sdr
delta_sdr,fold_5,Dynamic,7.000000,9.182438,1.666703,4.000000,delta_sdr
delta_sdr,fold_5,ML1,1.000000,4.186244,0.886937,4.000000,delta_sdr
delta_sdr,fold_5,ML1,3.000000,6.082408,1.191468,4.000000,delta_sdr
delta_sdr,fold_5,ML1,5.000000,6.315555,1.243994,4.000000,delta_sdr
delta_sdr,fold_5,ML1,7.000000,6.269627,1.314259,4.000000,delta_sdr
delta_sdr,fold_5,ML2,1.000000,4.761566,0.974199,4.000000,delta_sdr
delta_sdr,fold_5,ML2,3.000000,7.761143,1.594734,4.000000,delta_sdr
delta_sdr,fold_5,ML2,5.000000,8.838537,1.769137,4.000000,delta_sdr
delta_sdr,fold_5,ML2,7.000000,9.506537,1.786411,4.000000,delta_sdr
processing_time,fold_5,Baseline,1.000000,67.186932,7.665356,4.000000,processing_time
processing_time,fold_5,Baseline,3.000000,86.442356,7.789724,4.000000,processing_time
processing_time,fold_5,Baseline,5.000000,94.679599,7.622386,4.000000,processing_time
processing_time,fold_5,Baseline,7.000000,100.818211,8.181813,4.000000,processing_time
processing_time,fold_5,Dynamic,1.000000,57.842308,5.802769,4.000000,processing_time
processing_time,fold_5,Dynamic,3.000000,74.209956,6.563653,4.000000,processing_time
processing_time,fold_5,Dynamic,5.000000,78.267582,5.393795,4.000000,processing_time
processing_time,fold_5,Dynamic,7.000000,82.289132,5.256663,4.000000,processing_time
processing_time,fold_5,ML1,1.000000,2.120189,0.199612,4.000000,processing_time
processing_time,fold_5,ML1,3.000000,2.047331,0.191487,4.000000,processing_time
processing_time,fold_5,ML1,5.000000,2.041190,0.191574,4.000000,processing_time
processing_time,fold_5,ML1,7.000000,2.024115,0.185093,4.000000,processing_time
processing_time,fold_5,ML2,1.000000,37.974417,4.432793,4.000000,processing_time
processing_time,fold_5,ML2,3.000000,48.191944,4.729919,4.000000,processing_time
processing_time,fold_5,ML2,5.000000,52.392288,4.438946,4.000000,processing_time
processing_time,fold_5,ML2,7.000000,53.766507,4.648649,4.000000,processing_time
